Base(6): Quant Weight %
Point,C K,O K,Al K,Si K,Cr K,Mn K,Fe K,Ni K,Mo L,Total,Distance (um),C K Err,O K Err,Al K Err,Si K Err,Cr K Err,Mn K Err,Fe K Err,Ni K Err,Mo L Err
1,1.900188,0.680717,0.183946,0.486695,0.614839,0.936885,93.270697,1.926032,0.000000,100.000000,0.0000000,0.142260,0.255269,0.104402,0.100696,0.204946,0.388138,2.022088,0.625335,0.000000
2,1.970572,1.788335,0.035778,0.928949,0.921478,1.769964,91.237091,0.744677,0.603157,100.000000,1.05,0.143688,0.520485,0.107333,0.108796,0.215842,0.402265,2.027155,0.595742,0.266781
3,2.427805,1.034449,0.000000,0.738266,0.118816,0.641765,94.262834,0.594296,0.181770,100.000000,2.10,0.159724,0.513753,0.000000,0.109861,0.212171,0.390640,2.110479,0.620135,0.278714
4,2.425556,0.997553,0.150139,0.639011,0.505906,0.000000,94.648048,0.532888,0.100899,100.000000,3.16,0.154823,0.262869,0.110102,0.106502,0.199045,0.000000,2.084894,0.583639,0.273020
5,2.220528,0.082770,0.063325,0.582839,0.488344,0.965001,95.138069,0.459124,0.000000,100.000000,4.21,0.154921,0.262104,0.102294,0.107139,0.206926,0.394155,2.046308,0.586659,0.000000
6,2.144324,0.009135,0.102642,0.990637,0.249324,1.075399,93.517452,1.319927,0.591161,100.000000,5.26,0.152440,0.675974,0.107530,0.165106,0.193025,0.380324,1.983121,0.537748,0.255791
7,2.393585,0.857885,0.228084,1.034808,0.454824,1.087655,92.458047,1.418229,0.066884,100.000000,6.31,0.145066,0.247982,0.104125,0.110266,0.215008,0.394275,2.035718,0.582487,0.279695
8,1.835087,0.453403,0.000000,0.681844,0.830249,0.544791,95.643068,0.000000,0.011558,100.000000,7.36,0.145148,0.240037,0.000000,0.107208,0.199260,0.394974,2.099856,0.000000,0.260060
9,2.541833,0.937208,0.000000,1.101359,0.591454,2.087448,91.337195,0.747722,0.655781,100.000000,8.42,0.152510,0.512431,0.000000,0.108058,0.213581,0.385579,2.022060,0.573253,0.256610
10,1.643601,0.000000,0.000000,0.203361,0.517002,0.958097,95.663181,1.014758,0.000000,100.000000,9.47,0.130285,0.000000,0.000000,0.099605,0.210032,0.385900,2.054391,0.569255,0.000000
11,2.000280,0.113051,0.119475,0.888568,0.694930,0.876537,94.623451,0.683708,0.000000,100.000000,10.5,0.143610,0.492106,0.104541,0.108975,0.204391,0.371864,2.012945,0.557095,0.000000
12,2.065875,0.097233,0.043582,0.588078,0.580318,0.608879,94.576397,1.439638,0.000000,100.000000,11.6,0.153407,0.473200,0.106534,0.100813,0.212511,0.370622,2.058622,0.555650,0.000000
13,1.844679,0.393874,0.000000,0.677003,0.594545,1.296369,94.809726,0.000000,0.383802,100.000000,12.6,0.145907,0.258055,0.000000,0.107803,0.209347,0.399944,2.097970,0.000000,0.271614
14,2.107463,0.084133,0.000000,0.467464,0.683553,0.484791,95.963935,0.000000,0.208661,100.000000,13.7,0.154960,0.252399,0.000000,0.098639,0.208400,0.377060,2.065880,0.000000,0.260827
15,2.543320,0.360888,0.110177,1.012134,1.010951,1.333135,93.212242,0.000000,0.417152,100.000000,14.7,0.156352,0.245132,0.105169,0.106765,0.227464,0.412310,2.047098,0.000000,0.270268
16,2.444814,0.544037,0.000000,1.157126,0.242623,1.536190,93.548805,0.526406,0.000000,100.000000,15.8,0.156719,0.275377,0.000000,0.110608,0.209158,0.380649,2.051307,0.626673,0.000000
17,1.987033,0.343393,0.077154,0.814896,1.186603,1.122239,93.626412,0.824860,0.017409,100.000000,16.8,0.147188,0.484790,0.108016,0.107791,0.228845,0.401789,2.074738,0.592868,0.261130
18,1.760178,0.131867,0.000000,0.340426,0.829331,1.278288,95.435123,0.000000,0.224787,100.000000,17.9,0.144108,0.250546,0.000000,0.097872,0.207333,0.380767,2.076668,0.000000,0.260279
19,1.973526,0.000000,0.058192,0.306773,0.437473,1.901935,94.918365,0.156542,0.247194,100.000000,18.9,0.143157,0.000000,0.101836,0.102258,0.206355,0.377689,2.066416,0.626170,0.258692
20,2.098257,0.000000,0.103845,0.500348,1.000357,1.200331,94.811186,0.000000,0.285676,100.000000,20.0,0.154608,0.000000,0.114776,0.109167,0.232226,0.404931,2.123980,0.000000,0.279465
21,2.160261,0.000000,0.000000,0.427899,0.799243,1.434090,95.089508,0.088998,0.000000,100.000000,21.0,0.140668,0.000000,0.000000,0.104877,0.220200,0.385080,2.046703,0.533991,0.000000
22,1.566471,0.504616,0.003024,0.562760,0.774685,0.948368,94.901235,0.510680,0.228161,100.000000,22.1,0.131381,0.472268,0.063512,0.100046,0.212019,0.400719,2.043614,0.583635,0.262385
23,1.464244,0.344244,0.000000,0.418624,0.386101,1.409382,94.707363,1.150678,0.119364,100.000000,23.1,0.130378,0.465367,0.000000,0.099475,0.201094,0.395154,2.014105,0.563098,0.255780
24,1.653688,0.204991,0.158807,0.371665,0.883462,1.165390,94.573023,0.988974,0.000000,100.000000,24.2,0.148408,0.259655,0.107579,0.106190,0.223010,0.388463,2.132990,0.546538,0.000000
25,1.751243,0.000000,0.103796,0.397603,0.737588,1.355036,95.037567,0.617167,0.000000,100.000000,25.2,0.133919,0.000000,0.103796,0.102607,0.215475,0.406511,2.022723,0.617167,0.000000
26,2.109827,0.000000,0.043762,0.624864,0.351583,0.925324,93.946467,1.741621,0.256550,100.000000,26.3,0.143386,0.000000,0.102112,0.097107,0.212585,0.388904,2.029568,0.580540,0.268211
27,1.976501,0.350936,0.000000,1.053847,0.880570,0.554195,94.849681,0.000000,0.334270,100.000000,27.4,0.143373,0.238372,0.000000,0.171459,0.205741,0.391992,2.074696,0.000000,0.265110
28,1.835193,0.260425,0.004993,0.629063,1.435043,1.451258,93.555472,0.828552,0.000000,100.000000,28.4,0.145981,0.487463,0.104857,0.107716,0.219477,0.410734,2.107036,0.595522,0.000000
29,1.775232,0.000000,0.000000,0.633998,0.273776,1.810274,94.506131,0.714761,0.285828,100.000000,29.5,0.157565,0.000000,0.000000,0.107823,0.207406,0.397712,2.049791,0.612652,0.273919
30,5.431981,0.627498,0.000000,0.595173,0.321107,0.998584,91.238162,0.757035,0.030460,100.000000,30.5,0.192283,0.252363,0.000000,0.096514,0.200692,0.389059,1.986614,0.561671,0.274137
31,5.357815,2.926014,0.160856,2.339266,0.447994,1.146432,87.146622,0.475001,0.000000,100.000000,31.6,0.250365,0.262237,0.104083,0.124386,0.203634,0.368967,1.940212,0.575001,0.000000
32,3.397695,1.272292,0.087676,2.078756,0.567529,0.863101,91.061639,0.671311,0.000000,100.000000,32.6,0.179381,0.271144,0.112031,0.126753,0.211765,0.397301,2.027688,0.593852,0.000000
33,1.654495,0.000000,0.000000,0.609137,1.263479,1.077461,94.371090,1.024339,0.000000,100.000000,33.7,0.135273,0.000000,0.000000,0.102953,0.219003,0.395524,2.089283,0.588995,0.000000
34,1.485517,0.000000,0.000000,0.554766,0.614067,1.170939,96.015250,0.130578,0.028884,100.000000,34.7,0.132272,0.000000,0.000000,0.100866,0.204689,0.385878,2.023109,0.600660,0.265729
35,1.662685,0.000000,0.000000,0.620255,0.675835,0.565467,95.423721,1.052037,0.000000,100.000000,35.8,0.143689,0.000000,0.000000,0.101266,0.214289,0.417369,2.062971,0.576115,0.000000
36,1.817629,0.000000,0.000000,0.602944,0.804529,1.019402,94.557626,1.093815,0.104054,100.000000,36.8,0.144584,0.000000,0.000000,0.101906,0.199059,0.394169,2.081362,0.585064,0.260136
37,1.980019,0.000000,0.000000,1.151873,0.815159,1.545776,93.955855,0.074591,0.476726,100.000000,37.9,0.150654,0.000000,0.000000,0.113442,0.223096,0.417777,2.105717,0.547004,0.277587
38,1.828846,0.000000,0.027241,0.726358,0.507823,1.253715,95.227040,0.428977,0.000000,100.000000,38.9,0.134322,0.000000,0.114412,0.106817,0.208124,0.408820,2.072804,0.605614,0.000000
39,1.766309,0.162032,0.000000,0.734488,1.048679,1.164545,94.739152,0.226428,0.158367,100.000000,40.0,0.138325,0.499599,0.000000,0.104927,0.221672,0.415909,2.097315,0.603809,0.280188
40,1.899804,0.000000,0.000000,0.531488,0.915501,1.714056,92.984725,1.954426,0.000000,100.000000,41.0,0.142996,0.000000,0.000000,0.101236,0.214442,0.374950,2.048586,0.601362,0.000000
41,1.456757,0.000000,0.000000,0.567806,0.627179,1.287523,95.582347,0.119335,0.359053,100.000000,42.1,0.134311,0.000000,0.000000,0.098192,0.214561,0.406586,2.056681,0.548941,0.264875
42,1.960772,0.088304,0.033682,0.909050,0.758732,1.335571,93.896964,0.889497,0.127428,100.000000,43.1,0.148383,0.482274,0.101045,0.108738,0.221652,0.399294,2.113886,0.601719,0.285195
43,1.999562,1.047483,0.000000,1.070121,0.335691,1.600541,93.571542,0.375060,0.000000,100.000000,44.2,0.141383,0.245706,0.000000,0.103294,0.212877,0.370373,2.021883,0.575093,0.000000
44,2.480459,0.650752,0.000000,1.229817,0.594958,1.150173,93.893841,0.000000,0.000000,100.000000,45.2,0.157656,0.494843,0.000000,0.111412,0.217872,0.383391,2.083443,0.000000,0.000000
45,2.362924,0.610902,0.000000,1.225370,0.543511,0.489251,94.566092,0.090328,0.111621,100.000000,46.3,0.158232,0.501077,0.000000,0.116496,0.212309,0.405380,2.094573,0.692512,0.276115
46,2.058974,0.593908,0.000000,0.867226,1.052109,0.994495,93.798118,0.267598,0.367572,100.000000,47.3,0.144852,0.273598,0.000000,0.105759,0.217102,0.408697,2.011592,0.535197,0.274220
47,2.588109,0.327064,0.052960,0.608760,0.600903,0.764481,92.797775,1.861535,0.398412,100.000000,48.4,0.167651,0.257476,0.111216,0.107936,0.203122,0.403090,2.057703,0.620512,0.261644
48,1.924700,0.139966,0.000000,0.876270,0.354184,0.980169,95.240924,0.483787,0.000000,100.000000,49.4,0.131690,0.458070,0.000000,0.103823,0.209290,0.397366,2.033667,0.580545,0.000000
49,1.883064,0.342307,0.000000,0.973066,0.175219,1.415102,94.690894,0.520347,0.000000,100.000000,50.5,0.144851,0.467381,0.000000,0.106230,0.208595,0.390838,2.050902,0.619461,0.000000
50,2.007462,0.701849,0.039166,1.411720,0.558890,1.607532,93.107908,0.565472,0.000000,100.000000,51.5,0.156020,0.483349,0.102811,0.176992,0.208541,0.391752,2.047161,0.565472,0.000000
