Base(7): Quant Weight %
Point,C K,O K,Al K,Si K,Cr K,Mn K,Fe K,Ni K,Mo L,Total,Distance (um),C K Err,O K Err,Al K Err,Si K Err,Cr K Err,Mn K Err,Fe K Err,Ni K Err,Mo L Err
1,2.364372,2.617585,0.000000,0.669941,1.432238,1.929907,89.090811,1.437145,0.458000,100.000000,0.0000000,0.152869,0.260423,0.000000,0.101123,0.235898,0.418371,2.007509,0.605114,0.266684
2,2.533710,3.018962,0.115928,0.760397,0.000000,0.470140,92.491999,0.445689,0.163174,100.000000,1.05,0.162157,0.258201,0.101437,0.104450,0.000000,0.362679,2.039931,0.569492,0.256417
3,1.617976,0.277116,0.064814,0.739808,1.007083,1.614983,92.843679,1.299663,0.534879,100.000000,2.10,0.139825,0.476897,0.097221,0.102183,0.201417,0.377698,1.971668,0.539483,0.253364
4,1.731765,0.847691,0.146040,0.538475,0.315533,1.302734,94.709192,0.241099,0.167469,100.000000,3.16,0.148741,0.280285,0.109530,0.105068,0.213198,0.420237,2.107445,0.616143,0.263165
5,2.120179,0.190227,0.029153,0.835837,0.716752,1.184675,93.919916,0.633956,0.369305,100.000000,4.21,0.143394,0.258165,0.102036,0.105005,0.222440,0.390404,2.036817,0.583239,0.265438
6,2.480246,0.067651,0.072244,0.569169,0.489036,0.817609,94.767116,0.736928,0.000000,100.000000,5.26,0.151235,0.500617,0.101142,0.099708,0.211916,0.382430,2.011566,0.589543,0.000000
7,2.289552,0.059409,0.000000,0.875604,0.714020,1.405475,93.885573,0.459286,0.311081,100.000000,6.31,0.158264,0.481874,0.000000,0.107833,0.204006,0.399596,2.062567,0.561350,0.275187
8,2.142685,0.885186,0.250626,0.787739,0.273918,2.281099,93.142887,0.235860,0.000000,100.000000,7.36,0.156021,0.268238,0.105263,0.106451,0.215814,0.382460,2.052483,0.602753,0.000000
9,1.776058,0.465986,0.036696,0.771464,0.638353,0.939579,93.895545,1.303036,0.173284,100.000000,8.42,0.144563,0.239650,0.110088,0.105970,0.198967,0.402677,2.072783,0.551284,0.259926
10,1.611543,0.020411,0.177641,0.895952,0.395980,1.393395,95.231521,0.000000,0.273557,100.000000,9.47,0.139667,0.244927,0.111660,0.113633,0.215207,0.404085,2.098507,0.000000,0.279504
11,1.877081,0.000000,0.006134,0.640781,0.773098,1.008471,95.694435,0.000000,0.000000,100.000000,10.5,0.150166,0.000000,0.134947,0.110479,0.206159,0.397707,2.142057,0.000000,0.000000
