Base(9): Quant Weight %
Point,C K,O K,Al K,Si K,Cr K,Mn K,Fe K,Ni K,Mo L,Total,Distance (um),C K Err,O K Err,Al K Err,Si K Err,Cr K Err,Mn K Err,Fe K Err,Ni K Err,Mo L Err
1,5.581104,5.793403,0.131610,0.255006,0.852677,1.402841,84.088982,1.546982,0.347396,100.000000,0.0000000,0.261104,0.325734,0.103692,0.095202,0.185663,0.342426,1.763497,0.556913,0.239422
2,1.467602,1.537661,0.153535,0.473263,1.286653,1.751354,92.889891,0.440039,0.000000,100.000000,1.08,0.131919,0.446753,0.094483,0.090625,0.195937,0.358711,1.771029,0.540048,0.000000
3,1.665027,0.388907,0.068867,0.287967,0.768419,0.806976,94.287675,1.559480,0.166682,100.000000,2.15,0.122428,0.212603,0.087997,0.087060,0.185701,0.331067,1.800633,0.506831,0.225246
4,1.736991,0.100311,0.052588,0.285712,0.549643,0.754835,95.607714,0.912206,0.000000,100.000000,3.23,0.126480,0.237578,0.097086,0.092942,0.192044,0.334284,1.845615,0.527053,0.000000
5,1.115668,0.000000,0.000000,0.133027,0.648443,0.851118,95.357308,1.411927,0.482509,100.000000,4.30,0.115699,0.000000,0.000000,0.088685,0.181564,0.346752,1.832203,0.509863,0.234361
6,1.359719,0.000000,0.000000,0.112054,0.897724,0.559181,96.817859,0.199270,0.054194,100.000000,5.38,0.124365,0.000000,0.000000,0.088285,0.188652,0.348169,1.828105,0.518101,0.234842
7,1.096251,0.000000,0.061079,0.310461,0.647745,0.785771,96.484699,0.561076,0.052917,100.000000,6.45,0.118058,0.000000,0.093655,0.089689,0.191680,0.344448,1.835733,0.520999,0.250151
8,0.901833,0.000000,0.083734,0.253461,0.219677,0.892892,96.010755,1.166889,0.470758,100.000000,7.53,0.116904,0.000000,0.091709,0.087866,0.187371,0.346652,1.822914,0.514222,0.228524
9,1.107115,0.000000,0.030545,0.277366,0.318021,0.992772,96.557809,0.716371,0.000000,100.000000,8.60,0.118318,0.000000,0.100362,0.090144,0.185512,0.345312,1.846207,0.537279,0.000000
10,1.272485,0.000000,0.000000,0.000000,0.958349,1.242310,95.617533,0.909322,0.000000,100.000000,9.68,0.117979,0.000000,0.000000,0.000000,0.193001,0.356489,1.839502,0.525386,0.000000
