Base(28): Quant Weight %
Point,C K,O K,Al K,Si K,Cr K,Mn K,Fe K,Ni K,Mo L,Total,Distance (um),C K Err,O K Err,Al K Err,Si K Err,Cr K Err,Mn K Err,Fe K Err,Ni K Err,Mo L Err
1,2.187199,0.916776,0.026999,0.288230,0.469767,1.836230,94.046190,0.205606,0.023003,100.000000,0.0000000,0.154028,0.495193,0.107997,0.098945,0.209717,0.394449,2.083447,0.591116,0.253030
2,1.673319,3.553837,0.026320,0.552496,1.312626,2.331099,89.320827,1.035498,0.193977,100.000000,2.52,0.141979,0.260354,0.110546,0.105438,0.225738,0.417711,2.015895,0.580889,0.251029
3,1.515837,0.231291,0.195649,0.155989,0.915656,1.245532,95.441693,0.000000,0.298353,100.000000,5.03,0.135903,0.475799,0.108122,0.099660,0.210013,0.396928,2.128467,0.000000,0.274485
4,1.484950,0.048176,0.000000,0.362720,0.691237,1.484688,95.928229,0.000000,0.000000,100.000000,7.55,0.145380,0.268410,0.000000,0.099316,0.216532,0.408630,2.134810,0.000000,0.000000
5,1.416178,0.000000,0.065846,0.142541,0.834793,1.112616,95.954502,0.473524,0.000000,100.000000,10.1,0.133408,0.000000,0.101302,0.099347,0.214897,0.402150,2.058655,0.598136,0.000000
6,1.520040,0.000000,0.000000,0.000000,0.955405,1.052986,96.220652,0.000000,0.250917,100.000000,12.6,0.138185,0.000000,0.000000,0.000000,0.223789,0.407154,2.138941,0.000000,0.281517
7,1.315744,0.000000,0.131025,0.425183,0.904803,1.349694,95.160369,0.571460,0.141722,100.000000,15.1,0.133630,0.000000,0.105828,0.101034,0.213863,0.400899,2.089950,0.571460,0.260769
8,1.490416,0.000000,0.000000,0.232902,0.747808,0.204663,97.007144,0.000000,0.317068,100.000000,17.6,0.149042,0.000000,0.000000,0.096676,0.212445,0.395681,2.153967,0.000000,0.281173
9,1.623744,0.000000,0.191044,0.264852,1.127586,1.337799,95.115896,0.339079,0.000000,100.000000,20.1,0.132759,0.000000,0.105577,0.098252,0.205764,0.378367,2.101591,0.625992,0.000000
10,1.536470,0.186405,0.010546,0.344859,0.876300,0.985830,95.284150,0.564538,0.210902,100.000000,22.7,0.135878,0.466013,0.110735,0.104767,0.219075,0.397070,2.102993,0.615859,0.263627
11,1.284162,0.000000,0.216602,0.241424,0.830346,0.230551,95.432636,1.464527,0.299753,100.000000,25.2,0.133553,0.000000,0.103378,0.097417,0.213752,0.393293,2.085058,0.570917,0.253637
12,1.353075,0.000000,0.000000,0.287442,0.696484,1.444742,95.699652,0.503646,0.014959,100.000000,27.7,0.135307,0.000000,0.000000,0.104524,0.218176,0.408889,2.105146,0.604376,0.229368
13,1.284801,0.000000,0.000000,0.338711,1.270799,1.600478,94.815713,0.000000,0.689498,100.000000,30.2,0.136905,0.000000,0.000000,0.104219,0.221750,0.400120,2.118439,0.000000,0.267478
14,1.059588,0.000000,0.087714,0.206195,0.752462,1.292943,95.902041,0.563657,0.135400,100.000000,32.7,0.123447,0.000000,0.097460,0.096785,0.212652,0.390576,2.110388,0.614899,0.264914
15,1.535529,0.000000,0.267665,0.320386,0.578655,0.566025,96.618959,0.000000,0.112782,100.000000,35.2,0.134878,0.000000,0.101006,0.098252,0.206663,0.390827,2.126015,0.000000,0.267116
16,1.317404,0.000000,0.117124,0.267471,0.914557,1.523852,94.246568,1.323237,0.289787,100.000000,37.8,0.131740,0.000000,0.102484,0.100302,0.202336,0.394100,2.030154,0.612610,0.250012
17,1.392853,0.000000,0.000000,0.210343,0.610573,1.452663,96.131151,0.000000,0.202418,100.000000,40.3,0.138222,0.000000,0.000000,0.107409,0.206391,0.423106,2.161491,0.000000,0.282158
18,1.306747,0.000000,0.212229,0.175620,0.972136,1.985728,95.089821,0.000000,0.257719,100.000000,42.8,0.132717,0.000000,0.098711,0.098519,0.214199,0.402512,2.085237,0.000000,0.263576
19,1.306926,0.000000,0.000000,0.105190,0.592184,1.552896,95.028055,1.414750,0.000000,100.000000,45.3,0.134842,0.000000,0.000000,0.100807,0.216856,0.408657,2.113436,0.565900,0.000000
20,1.251197,0.000000,0.077654,0.305488,0.907365,1.159747,96.035567,0.219031,0.043951,100.000000,47.8,0.132240,0.000000,0.101921,0.097586,0.220710,0.399913,2.089037,0.559745,0.247226
21,1.412451,0.000000,0.153331,0.086032,0.268762,1.518629,96.263135,0.180106,0.117554,100.000000,50.3,0.136014,0.000000,0.107332,0.098937,0.209970,0.410440,2.109750,0.566047,0.264496
22,1.897772,4.216503,0.000000,0.269836,0.418837,1.236756,91.875468,0.084829,0.000000,100.000000,52.9,0.152228,0.268859,0.000000,0.102794,0.209418,0.398510,2.077586,0.650354,0.000000
23,1.398513,0.000000,0.064466,0.190695,0.340911,0.860691,96.492483,0.522689,0.129552,100.000000,55.4,0.132706,0.000000,0.104138,0.097466,0.202923,0.376552,2.106823,0.597359,0.276771
24,1.471266,0.000000,0.137820,0.306645,0.635840,1.283821,95.208340,0.956269,0.000000,100.000000,57.9,0.137600,0.000000,0.102089,0.100755,0.220424,0.400331,2.117471,0.568592,0.000000
25,1.490853,0.000000,0.095064,0.187021,1.129821,1.503227,94.878092,0.715922,0.000000,100.000000,60.4,0.134591,0.000000,0.105070,0.100035,0.217595,0.409971,2.095486,0.588078,0.000000
26,1.531126,0.000000,0.040943,0.216013,0.535624,1.804851,95.713011,0.000000,0.158432,100.000000,62.9,0.130096,0.000000,0.102358,0.095544,0.211003,0.408397,2.062333,0.000000,0.254623
27,1.049249,0.000000,0.132340,0.140643,0.629459,0.223473,95.691541,2.133296,0.000000,100.000000,65.4,0.123441,0.000000,0.106890,0.098024,0.204370,0.394363,2.066901,0.602342,0.000000
28,1.220543,0.022117,0.189598,0.171883,0.779530,1.839090,95.687718,0.000000,0.089521,100.000000,68.0,0.124123,0.530799,0.104778,0.098833,0.207322,0.419204,2.086458,0.000000,0.274532
