Base(17): Quant Weight %
Point,C K,O K,Al K,Si K,Cr K,Mn K,Fe K,Ni K,Mo L,Total,Distance (um),C K Err,O K Err,Al K Err,Si K Err,Cr K Err,Mn K Err,Fe K Err,Ni K Err,Mo L Err
1,1.542930,0.297578,0.067546,0.323477,0.991233,1.023096,95.754141,0.000000,0.000000,100.000000,0.0000000,0.144007,0.495963,0.109113,0.102150,0.214767,0.390392,2.056117,0.000000,0.000000
2,1.837792,0.000000,0.000000,0.173499,0.797825,1.357882,95.133100,0.665666,0.034237,100.000000,2.72,0.147023,0.000000,0.000000,0.099762,0.212187,0.415678,2.105750,0.588858,0.268191
3,1.362481,0.063059,0.000000,0.106726,0.465755,0.976633,96.078255,0.947090,0.000000,100.000000,5.43,0.136248,0.266250,0.000000,0.102279,0.211707,0.398907,2.140933,0.588731,0.000000
4,1.905491,0.000000,0.144010,0.329915,0.388033,1.009833,94.977166,1.060946,0.184607,100.000000,8.15,0.148205,0.000000,0.108007,0.101174,0.219323,0.387333,2.105751,0.595165,0.273932
5,1.911559,0.313621,0.172835,0.438174,0.517498,2.209084,93.695947,0.329072,0.412210,100.000000,10.9,0.143111,0.260238,0.103701,0.101117,0.205356,0.401652,2.035557,0.607518,0.267066
6,1.219365,0.000000,0.000000,0.236182,1.020431,0.967898,96.366225,0.189900,0.000000,100.000000,13.6,0.126141,0.000000,0.000000,0.100596,0.210833,0.400986,2.121854,0.623956,0.000000
7,1.207369,0.481060,0.000000,0.071212,0.890791,0.782237,96.196227,0.371105,0.000000,100.000000,16.3,0.135309,0.250415,0.000000,0.102367,0.226900,0.425427,2.138038,0.636180,0.000000
8,1.235266,0.000000,0.000000,0.022258,0.931424,1.560626,95.845671,0.267484,0.137270,100.000000,19.0,0.131627,0.000000,0.000000,0.102389,0.204260,0.400161,2.097607,0.510652,0.268821
9,1.134765,0.000000,0.000000,0.193329,0.763909,0.987446,96.519494,0.369715,0.031341,100.000000,21.7,0.123793,0.000000,0.000000,0.098813,0.207584,0.392273,2.126519,0.607388,0.288339
10,1.177471,0.000000,0.078930,0.166672,0.861146,1.088140,96.207057,0.420584,0.000000,100.000000,24.4,0.123944,0.000000,0.103596,0.098294,0.207006,0.394451,2.108397,0.569025,0.000000
11,1.406466,0.000000,0.000000,0.172435,0.116460,0.895800,96.525902,0.882936,0.000000,100.000000,27.2,0.136448,0.000000,0.000000,0.099150,0.216283,0.399665,2.103433,0.597280,0.000000
12,1.869871,0.000000,0.169646,0.318095,0.534808,1.551809,95.168027,0.000000,0.387743,100.000000,29.9,0.157573,0.000000,0.107956,0.104579,0.212225,0.401808,2.113809,0.000000,0.280368
13,1.206527,0.000000,0.235265,0.250794,0.446526,0.921756,96.711721,0.227411,0.000000,100.000000,32.6,0.127003,0.000000,0.107404,0.105597,0.210626,0.398969,2.124680,0.581161,0.000000
14,1.362916,0.019480,0.068424,0.111258,0.921377,1.417360,94.678221,1.146188,0.274774,100.000000,35.3,0.137348,0.253245,0.105268,0.102358,0.221813,0.399063,2.143658,0.625193,0.274774
15,1.284054,0.000000,0.000000,0.073502,0.246543,0.928707,96.474711,0.809742,0.182741,100.000000,38.0,0.130412,0.000000,0.000000,0.093920,0.206778,0.371483,2.050440,0.564366,0.262690
16,1.592778,0.000000,0.133666,0.119265,0.584465,1.402221,95.674375,0.075812,0.417417,100.000000,40.7,0.145744,0.000000,0.107961,0.106013,0.220233,0.398671,2.101375,0.581226,0.262376
17,1.477726,0.030083,0.000000,0.460691,0.696886,1.618568,95.148925,0.477565,0.089556,100.000000,43.4,0.147773,0.293311,0.000000,0.105301,0.212465,0.387350,2.116496,0.636753,0.274638
18,1.440117,0.000000,0.100539,0.328574,0.782858,0.976360,95.968527,0.000000,0.403025,100.000000,46.2,0.134687,0.000000,0.105566,0.102413,0.216535,0.406817,2.089588,0.000000,0.280365
19,1.265524,0.000000,0.000000,0.250433,0.845169,1.542516,95.131103,0.668824,0.296431,100.000000,48.9,0.138250,0.000000,0.000000,0.101052,0.224229,0.406663,2.089585,0.565928,0.278282
20,1.727966,2.210130,0.000000,0.305971,1.296277,1.105954,92.329255,1.024447,0.000000,100.000000,51.6,0.132139,0.260015,0.000000,0.097741,0.232665,0.404617,2.047716,0.624663,0.000000
21,2.551476,0.734651,0.044542,0.051840,0.296694,1.090134,94.596165,0.386319,0.248179,100.000000,54.3,0.154323,0.265291,0.103931,0.103681,0.211924,0.413975,2.097681,0.592356,0.271815
22,1.418016,0.020433,0.072836,0.318158,0.504733,0.848956,95.841454,0.415565,0.559849,100.000000,57.0,0.135546,0.497206,0.109253,0.103186,0.215132,0.410785,2.122684,0.597374,0.274093
23,0.921414,0.000000,0.000000,0.201040,0.357754,1.079023,96.302428,0.267682,0.870658,100.000000,59.7,0.136118,0.000000,0.000000,0.098382,0.207996,0.409756,2.099862,0.642438,0.270610
24,1.378289,0.119664,0.102623,0.263162,0.684724,0.970778,95.895089,0.000000,0.585671,100.000000,62.5,0.133715,0.245976,0.102623,0.101869,0.214492,0.404491,2.120567,0.000000,0.272540
25,1.102132,0.000000,0.072144,0.397263,0.304142,1.080430,96.564258,0.460729,0.018901,100.000000,65.2,0.127169,0.000000,0.108216,0.101523,0.211210,0.401698,2.137551,0.588709,0.289819
26,1.252882,0.000000,0.000000,0.172682,0.669855,1.215615,95.228077,1.375000,0.085890,100.000000,67.9,0.135729,0.000000,0.000000,0.099292,0.217703,0.396099,2.073849,0.585648,0.263395
27,2.077665,0.596020,0.000000,0.484165,0.881834,1.183538,94.310452,0.080165,0.386162,100.000000,70.6,0.159820,0.277219,0.000000,0.101234,0.224781,0.422692,2.137661,0.641319,0.277554
28,1.566770,0.340198,0.137158,0.139596,0.804290,1.107565,95.372755,0.410364,0.121304,100.000000,73.3,0.143365,0.248606,0.106679,0.097294,0.205176,0.378193,2.089781,0.564251,0.265713
29,1.670787,0.000000,0.127546,0.320405,0.780259,0.601776,95.942792,0.035653,0.520782,100.000000,76.0,0.148044,0.000000,0.112240,0.105339,0.220508,0.405849,2.116500,0.820026,0.269370
30,1.479001,0.000000,0.109011,0.221526,1.070473,0.869307,95.440490,0.397084,0.413108,100.000000,78.7,0.134455,0.000000,0.104056,0.097983,0.209077,0.393905,2.110703,0.620444,0.265569
31,1.332712,0.000000,0.049211,0.000000,0.468286,1.569787,96.348207,0.177883,0.053915,100.000000,81.5,0.131252,0.000000,0.103344,0.000000,0.201847,0.385795,2.116388,0.584472,0.269576
32,1.543296,0.000000,0.013313,0.234318,0.477922,0.809255,95.984872,0.390320,0.546704,100.000000,84.2,0.133752,0.000000,0.093189,0.097988,0.214241,0.404628,2.092561,0.624512,0.267536
33,0.961023,0.000000,0.000000,0.273247,0.754962,1.471874,95.093343,1.241979,0.203572,100.000000,86.9,0.124003,0.000000,0.000000,0.098198,0.215703,0.391600,2.102015,0.557623,0.267552
34,1.521683,0.000000,0.000000,0.344230,0.923941,0.919270,95.155825,0.867099,0.267952,100.000000,89.6,0.134571,0.000000,0.000000,0.098966,0.216419,0.392041,2.101713,0.586567,0.267952
35,1.210478,0.000000,0.007555,0.113353,0.702883,1.654057,95.077440,1.234235,0.000000,100.000000,92.3,0.133358,0.000000,0.083101,0.100758,0.198461,0.389981,2.056055,0.579335,0.000000
36,1.548293,0.000000,0.199185,0.283017,0.587539,1.032218,95.293677,0.802071,0.253999,100.000000,95.0,0.132420,0.000000,0.104572,0.101379,0.212167,0.383773,2.044352,0.601553,0.259772
